S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount,score
0.48,-0.287,1.075,-1.345,0,0,0,0.521
0,-0.472,0,-0.06,0,0,0,0.957
1.359,-4.044,1.915,-1.861,0,0,0,0.283
0.945,-0.643,0.664,-1.048,0,0,0,0.604
0,-2.293,0,-1.018,0,0,0,0.804
0.48,-0.098,0,-2.172,0,0,0,0.652
0.38,-4.008,0.26,-1.412,0,0,0,0.583
2.44,-2.001,5.748,-7.162,0,0,0,0.146
0.696,-8.82,1.274,-14.119,0,0,0,0.958
0.331,-0.199,0.478,-1.545,0,0,0,0.313
1.147,-1.491,0,-1.185,0,0,0,0.354
0.79,-1.845,1.92,-1.072,0,0,0,0.438
3.111,-1.961,3.284,-3.587,0,0,0,0.229
0.449,-2.215,0.208,-2.904,0,0,0,0.521
0.514,-2.864,1.021,-1.876,0,0,0,0.413
0.608,-2.483,1.142,-2.145,0,0,1,0.848
1.35,-2.502,1.017,-2.079,0,0,0,0.521
2.552,-2.176,3.563,-4.172,0,0,0,0.46
0.046,-4.917,0.231,-5.497,0,0,2,0.583
1.641,-0.907,1.852,-1.952,0,0,0,0.38
1.269,-1.916,1.311,-0.709,0,0,1,0.396
0.409,-2.068,0.778,-1.378,0,0,0,0.667
2.416,-10.637,3.159,-10.818,0,0,2,0.652
2.861,-3.934,0.995,-6.158,0,0,0,0.396
0,0,0,0,0,0,0,0.354
1.458,-1.235,2.589,-2.873,0,0,0,0.5
0.397,-9.343,1.733,-2.47,0,0,0,0.625
3.962,-6.144,3.881,-7.295,0,0,1,0.333
0.409,-2.42,1.015,-1.903,0,0,0,0.417
1.3,-0.461,1.467,-1.746,0,0,0,0.333
2.528,-2.516,3.895,-3.798,0,0,0,0.223
2.637,-5.456,5.173,-0.965,0,0,0,0.521
0.785,-0.312,2.859,-0.803,0,0,0,0.271
0.121,-0.298,0.542,-0.341,0,0,0,0.604
0.742,-2.012,0,-1.206,0,0,0,0.13
1.404,-2.813,3.42,-11.216,0,0,1,0.522
2.701,-2.788,3.96,-3.33,0,0,0,0.625
0.409,-0.241,1.214,0,0,0,0,0.771
0.748,-5.632,0.368,-3.709,0,0,0,0.708
0.949,-0.115,0,-0.456,0,0,0,0.694
0,-1.282,0.704,-1.772,0,0,0,0.917
1.046,-5.3,0.478,-3.832,0,0,0,0.479
0.158,-3.619,0.282,-2.554,0,0,0,0.125
0.339,-2.347,0.583,-3.854,0,0,1,0.826
0.542,-5.139,0.622,-3.836,0,0,1,0.717
0.841,-4.724,3.121,-1.003,0,0,1,0.604
0.234,-0.204,0.2,-0.854,0,0,0,0.354
0.742,-3.298,1.302,-0.996,0,0,0,0.625
0.15,-0.783,0.124,0,0,0,0,0.271
4.292,-3.318,2.352,-7.341,0,0,1,0.313
0,-1.905,0.234,-0.984,0,0,0,0.583
1.683,-0.78,1.986,-2.853,0,0,0,0.604
0.428,-1.862,0.13,-2.257,0,0,0,0.521
1.927,-3.421,3.822,-5.046,0,0,0,0.729
1.49,-1.196,3.852,-1.023,0,0,0,0.293
0.732,-3.79,1.274,-2.105,0,0,0,0.917
0.72,-6.116,1.636,-3.93,0,0,0,0.479
2.153,-5.724,2.842,-4.629,0,0,0,0.063
12.022,-3.301,4.704,-8.674,0,0,0,0.521
0,-2.601,0,-3.665,0,0,0,0.583
4.379,-2.855,7.823,-5.798,0,0,1,0.6
2.944,-5.363,3.393,-9.784,0,0,1,0.583
0.982,-2.267,1.318,-0.628,0,0,1,0.229
0.762,-3.639,1.745,-2.611,0,0,0,0.391
2.015,-4.51,2.241,-3.442,0,0,0,0.208
2.761,-5.3,2.311,-4.057,0,0,1,0.875
0.523,-3.086,2.529,-5.14,0,0,0,0.217
0.092,-1.286,0.13,-1.227,0,0,0,0.458
1.974,-4.943,4.085,-5.213,0,0,0,0.479
0.7,-3.024,1.46,-4.322,0,0,0,0.813
0,-2.032,0.044,-2.805,0,0,0,0.417
0.134,-1.891,0.478,-2.863,0,0,1,0.479
3.052,-4.969,3.126,-6.611,0,0,1,0.783
3.544,-3.22,3.293,-4.952,0,0,0,0.433
1.07,-3.25,0,-1.13,0,0,0,0.813
2.049,-4.272,3.294,-3.412,0,0,1,0.438
1.059,-1.035,1.995,-0.103,0,0,0,0.188
3.527,-2.952,5.219,-4.428,0,0,0,0.646
2.816,-1.376,3.848,-1.721,0,0,0,0.25
0.934,-2.415,2.958,-3.723,0,0,2,0.083
2.911,-10.971,0.993,-10.937,0,0,1,0.833
1.11,-2.414,0.805,-9.559,0,0,0,0.542
1.06,-1.163,0.881,-4.917,0,0,0,0.56
3.213,-3.376,3.267,-5.581,0,0,1,0.458
0.222,-2.183,0.086,-3.434,0,0,1,0.313
2.492,-0.712,5.61,-2.798,0,0,0,0.227
0,-1.928,0,-0.693,0,0,1,0.313
0.2,-2.656,0.271,-0.907,0,0,0,0.26
1.522,-9.437,1.804,-7.295,0,0,2,0.521
0.647,-0.091,0,-0.638,0,0,0,0.271
0,-4.222,0,-2.786,0,0,0,0.958
0.636,-0.193,0.766,-0.109,0,0,0,0.271
2.795,-3.105,4.801,-1.885,0,0,0,0.783
0.045,-7.74,0.542,-4.498,0,0,2,0.583
2.058,-1.351,2.86,-3.676,0,0,0,0.261
0.604,-1.645,0.664,-4.286,0,0,0,0.5
0.407,-3.872,0.542,-2.645,0,0,0,0.313
1.209,-2.243,1.645,-1.855,0,0,0,0.479
2.909,-2.009,4.248,-3.047,0,0,1,0.479
1.867,-4.224,1.859,-4.609,0,0,0,0.75
0.079,-1.822,0.755,-1.349,0,0,0,0.292
1.21,-4.969,2.912,-4.211,0,0,1,0.348
1.814,-3.899,1.796,-3.468,0,0,1,0.438
1.593,-1.51,2.083,-6.57,0,0,0,0.729
2.296,-6.834,5.451,-5.684,0,0,0,0.688
0.533,-2.887,1.339,-4.58,0,0,0,0.396
2.255,-2.851,3.438,-2.484,0,0,0,0.188
