"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-40983","	final vestiges de mi num ' s la niñez era justo dashed en el shoals de oír una cubierta de casa de Tracy Chapman es ' coche rápido ' en el dayjob	","sadness", 0.417
"2017-En-20751","	@username  ha tenido una primera mitad terrible, no para mencionar rashford habría subido el fin de un par de aquellos a través de paso #de pelotas	","sadness", 0.500
"2017-En-41232","	siente realmente triste y abajo hoy 😒	","sadness", 0.833
"2017-En-40797","	Uau justo Me miré Antes de que Te y sea seriamente uno del más deprimiendo películas de mi Manera	","sadness", 0.667
"2017-En-40224","	de vida demasiado fresco de morir joven, manera demasiado joven de morir sereno.. #tunechi	","sadness", 0.604
"2017-En-41500","	Cumpleaños feliz Roy Buchanan, nacido en este día en 1939. #roybuchanan #Guitarra #blues #happybrithday	","sadness", 0.188
"2017-En-41478","	Eivissa blues pegándome duro ya uau	","sadness", 0.833
"2017-En-40483","	la concienciación de tiempo es concienciación del tiempo perdió . #La concienciación #No cronometra	","sadness", 0.417
"2017-En-40529","	Ningún episodio hoy ! Whilst Editando había un poder outage !  Reconstruiremos ... Mañana #el podcast #perdió #editar #falla #mañana	","sadness", 0.396
"2017-En-40540","	@username programa grande esta noche #trastornando #extremeworld	","sadness", 0.375
"2017-En-40988","	La mayoría de días, no sé lo que mis latidos de corazón para. #Depresión	","sadness", 0.854
"2017-En-40405","	Bare los vídeos on-line pero  cualquiera consigue rehabilitado ?  Cualquiera de hecho consigue ayuda para su aflicción ? O  nosotros jut conseguir twitter vídeos .	","sadness", 0.479
"2017-En-40960","	 Puedes decir el campamento no es feliz puramente a través de Bojan y Muni . \ n \ nBoth Normalmente fab tipos, todavía completamente dejected. Algo no es bien..	","sadness", 0.623
"2017-En-40671","	Bill Clinton : ' no crece cansado de hacer bueno . ' @username #CGInum	","sadness", 0.275
"2017-En-40445","	@username También atenuar para el Reino Unido .	","sadness", 0.438
"2017-En-40633","	#Vida serena	","sadness", 0.312
"2017-En-40168","	no he mirado mi favorito youtubers en los meses y él es honestamente hizo mi depresión tanto peor	","sadness", 0.667
"2017-En-40970","	@username @username  soy deprime ahora	","sadness", 0.708
"2017-En-20568","	Cuándo la tristeza te dejas rota en vuestra cama,  aguantaré tú en las profundidades de vuestra desesperación, y es todo en el nombre de amor 🎶	","sadness", 0.604
"2017-En-40913","	John y su ' caja mágica ' #perdido	","sadness", 0.229
"2017-En-40682","	no me impresione pero no me deprima '	","sadness", 0.271
"2017-En-40703","	@username Tan seguro blues es vale . Es rojos vale también ? Evidentemente, battleground estados  no.	","sadness", 0.263
"2017-En-41383","	Ser tan siniestro arriba en num	","sadness", 0.750
"2017-En-40083","	@username @username \ n A corazones buenos  perdí mi trabajo soy Responsable num familias Mi Información en perfil incluso dólar si puede ' t justo Re-tweet	","sadness", 0.750
"2017-En-40453","	Barato pout mi brodcast	","sadness", 0.438
"2017-En-40614","	 quiero ver  sonríes no quiero ver  haces un arrugar la frente	","sadness", 0.333
"2017-En-40190","	Liam es demasiado distante me hago llorar 😪	","sadness", 0.646
"2017-En-41087","	Siendo en el aeropuerto es tan deprimiendo .. Mirando todo el encantado arriba de pares y las personas lindas que salen vacaciones,demasiado lindos..Prisa arriba noviembre ✈️	","sadness", 0.625
