@relation "./files_to_convert\2018-EI-reg-Es-sadness-train.txt"

@attribute id string
@attribute tweet string
@attribute emotion string
@attribute score numeric

@data
"2018-Es-02154"," amelia entró en pánico ","sadness", 0.522
"2018-Es-06009"," @username Deberías quitarme de tus notificaciones, sigo ofendida por lo de la peli, cambio y fuera","sadness", 0.479
"2018-Es-02096"," Tengo que estudiar, qué paja. Hace tiempo no tenía que hacerlo, la vida era más linda 😥","sadness", 0.565
"2018-Es-04708"," Asumo mis consecuencia y admito mis errores, esos que excusé, por nerviosismo, por temores.","sadness", 0.563
"2018-Es-06407"," via @username : @username Amargado ... Solo era una pregunta y yaaa ... Deje la amargura ","sadness", 0.500
"2018-Es-05896"," @username Donde estaba independiente es lo que te digo ! ! ! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años","sadness", 0.229
"2018-Es-06117"," No quería q salte mi ex y retruquemos lo q faltò, lo q no hizo, etc etc etc 😔 , es un volver al pasado , y es triste. Puto día .","sadness", 0.854
"2018-Es-06012"," @username @username lo consideras alguien terrible,pero¿te das cuenta de lo que escribes?","sadness", 0.391
"2018-Es-01708"," El cobarde muere muchas veces . El vals,nte solo una. - Willian Shakespeare","sadness", 0.283
"2018-Es-03468"," @username Qué horror este engendro . Repulsivo . ","sadness", 0.521
"2018-Es-06855"," El suicidio es el capítulo final de una novela más larga e incomprendida . No se resuelve diciéndole a alguien que no esté triste y ya . ","sadness", 0.667
"2018-Es-00505"," @username tarde puti, ya perdió la gracia","sadness", 0.292
"2018-Es-04417"," @username @username @username @username @username @username @username @username A pesar de que mueran ciclistas . ","sadness", 0.500
"2018-Es-01372"," @username @username Biaaas ","sadness", 0.354
"2018-Es-02919"," Me kga la verga que no cuelguen la llamada en cuanto digo adiós, súper incómodo tener que esperar a que cuelguen, gastan pila.","sadness", 0.348
"2018-Es-02190"," EL PUEBLO DESPERTO, Y VA A CRISTALIZAR LA LIBERTAD DESTRUIDA POR TODOS AQUELLOS QUE LA JUSTICIA LOS ESPERA CON MUCHA ANSIEDAD T ANHELO","sadness", 0.333
"2018-Es-06333"," ok ME CANSE D ESPERAR voy a dormir #enojada #estresada #indignada ","sadness", 0.729
"2018-Es-05932"," Abril tiene prohibido quejarse conmigo . ","sadness", 0.360
"2018-Es-03758"," Tengo re abandonado el tw ","sadness", 0.479
"2018-Es-03049"," @username soldada ferida, #triste","sadness", 0.696
"2018-Es-06596"," Al final de la oscuridad siempre se ve la luz ","sadness", 0.293
"2018-Es-00351"," Es peligroso acostumbrarse a alguien ","sadness", 0.708
"2018-Es-05394"," Campañon, Campañon!!! 🔴⚪⚫   Terrible lo de chaca💪💪💪💪","sadness", 0.396
"2018-Es-04702"," Estoy cansado de siempre dar y no recibir nada a cambio . ","sadness", 0.813
"2018-Es-00502"," SIGO LLORANDO SANGRE POR EL SUICIDIO DE CHESTER ! ! ! WEY ! ! ! NO PUEDO ! ! ! ; ; ","sadness", 0.886
"2018-Es-04831"," @username Todas las partidas de worlds y trasnochado a clases 😢 ","sadness", 0.333
"2018-Es-01058"," Me ahogo, necesito romper en llanto y no lo hago, porque no quiero, porque estoy cansada de las lágrimas, y más aún del dolor de cabeza","sadness", 0.896
"2018-Es-02397"," No sé cómo le haces para que no pueda durar enojada contigo más de num días ","sadness", 0.403
"2018-Es-01109"," Algo que jamas habra en tecmilenio : elotero en la salida #Triste 😢 ","sadness", 0.604
