ArabicSemevalLex-score,score
0,0.422
0,0.547
0,0.422
0,0.387
0,0.424
0,0.594
0,0.453
0,0.455
0,0.422
0,0.344
0,0.298
0,0.485
0,0.469
0,0.353
0,0.47
0,0.406
0,0.53
0,0.379
0,0.365
0,0.406
0,0.797
0,0.727
0,0.656
0,0.742
0,0.281
0,0.441
0,0.266
0,0.703
0,0.548
0,0.212
0,0.672
0,0.656
0,0.348
0,0.281
0,0.25
0,0.484
0,0.371
0,0.529
0,0.394
0,0.597
0,0.391
0,0.176
0,0.544
0,0.516
0,0.129
0,0.203
0,0.469
0,0.485
0,0.452
0,0.281
0,0.656
0,0.279
0,0.625
0,0.515
0,0.703
0,0.774
0,0.697
0,0.576
0,0.594
0,0.485
0,0.5
0,0.297
0,0.565
0,0.234
0,0.242
0,0.532
0,0.422
0,0.406
0,0.484
0,0.328
0,0.531
0,0.703
0,0.304
0,0.364
0,0.578
0,0.485
0,0.359
0,0.688
0,0.5
0,0.469
0,0.406
0,0.227
0,0.531
0,0.578
0,0.375
0,0.561
0,0.803
0,0.409
0,0.623
0,0.576
0,0.719
0,0.742
0,0.844
0,0.375
0,0.227
0,0.471
0,0.75
0,0.789
0,0.813
0,0.438
0,0.484
0,0.531
0,0.53
0,0.348
0,0.576
0,0.328
0,0.456
0,0.485
0,0.078
0,0.594
0,0.734
0,0.839
0,0.581
0,0.281
0,0.712
0,0.719
0,0.333
0,0.516
0,0.5
0,0.409
0,0.818
0,0.609
0,0.469
0,0.355
0,0.424
0,0.453
0,0.516
0,0.21
0,0.484
0,0.913
0,0.854
0,0.318
0,0.641
0,0.561
0,0.839
0,0.387
0,0.578
0,0.313
0,0.47
0,0.703
0,0.68
0,0.29
0,0.691
0,0.5
0,0.406
0,0.576
0,0.591
0,0.266
0,0.781
0,0.71
0,0.563
0,0.647
0,0.344
0,0.364
0,0.484
0,0.734
0,0.656
0,0.652
0,0.766
0,0.583
0,0.455
0,0.656
0,0.606
0,0.875
0,0.375
0,0.406
0,0.424
0,0.422
0,0.258
0,0.809
0,0.581
0,0.25
0,0.394
0,0.574
0,0.65
0,0.719
0,0.625
0,0.688
0,0.734
0,0.781
0,0.426
0,0.453
0,0.621
0,0.621
0,0.081
0,0.422
0,0.955
0,0.422
0,0.25
0,0.313
0,0.697
0,0.409
