@relation "temp2.txt"

@attribute id string 
@attribute tweet string
@attribute emotion string
@attribute class string 

@data
"00818"," Este año me tocará ir sola a la Convención de DB 😬 Vamo a conocer otakus ","valence", "0: se infiere un estado emocional neutral or mixto"
"06065"," MB si no me equivoco una vez me confundi de snap y te mande terrible escracho mio jaja,me re copa q estes estudiando el prof suerte con eso💪","valence", "0: se infiere un estado emocional neutral or mixto"
"00417"," @username Que eres terrible fome ! 🙄 Y añejo poh ! ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"00861"," Gracias por informar temas de contingencia del país, preguntas claves para el proceso del país. #ironía #Tolerancia0","valence", "-1: se infiere un estado emocional ligeramente negativo"
"01772"," En Maipú hace falta una peluquería ATR ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"01969"," Datos @username y @username dicen q delincuencia ha bajado, sin/emb sensación d inseguridad sigue. Gran trabajo d la prensa ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"03177"," @username AAA feliz día loquito,te extrañoo","valence", "2: se infiere un estado emocional moderadamente positivo"
"05589"," La gente siempre piensa que los estoy mirando mal . Yo no miro mal a nadie, tengo cara de amargado y ya.","valence", "-2: se infiere un estado emocional moderadamente negativo"
"01809"," Me sigue haciendo preguntas sobre el color de mis pies y hasta no responder todo no me va a decir el motivo de su curiosidad ","valence", "0: se infiere un estado emocional neutral or mixto"
"02723"," Amo que @username haya hecho una actualización para poner lento mi iphone . Lo amo de verdad . #Sarcasmo 😑 ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"02457"," Feliz día me dijo si habremos compartido baldes en lbbb JAJAJAJAJAAJAAJ ","valence", "2: se infiere un estado emocional moderadamente positivo"
"03260"," No puedo esperar a que sea mañana y ver el súper drama que habrá en mi salón ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"00009"," Soy demasiado ansiosa 🤦 ‍ ♀ ️ ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"05990"," @username Demasiado dulce 😅 ","valence", "2: se infiere un estado emocional moderadamente positivo"
"03909"," Me da risa cuando nadie me cree que me sigue Justin Bieber yyy me mando dm ","valence", "2: se infiere un estado emocional moderadamente positivo"
"04012"," Debería de estar leyendo, no viendo mis memes de hace dos años :( hasta llore de la risa... toot toot dooo","valence", "1: se infiere un estado emocional ligeramente positivo"
"03525"," Hola, ansiedad. Pasa. Llegas temprano.","valence", "-2: se infiere un estado emocional moderadamente negativo"
"01591"," send diversión en mi tl ","valence", "0: se infiere un estado emocional neutral or mixto"
"03331"," @username @username Unos pocos como paralizan el país #ironía ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"03947"," @username Este tweet ha ofendido a los latinoamericanos ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"03287"," @username Jajajajajajajajajajajaja fue lo mas y mas cuando perdió el arito jajjaajja ","valence", "3: se infiere un estado emocional muy positivo"
"04799"," @username Y ese parche tan horrendo enfrente de la playera que pedo ? #Gacho ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"00999"," Los dos queremos pero nos mata la cobardía ! ! ! ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"04200"," Siempre me ha gustado, encima es divertida, ¿qué más pedir?","valence", "2: se infiere un estado emocional moderadamente positivo"
"05024"," Estoy tan ansiosa por la numma temporada de Game of Throne que ya me siento una Targaryen . ","valence", "0: se infiere un estado emocional neutral or mixto"
"01636"," q bien va sanidad en Andalucía ❤ ❤ ❤ #ironico ","valence", "0: se infiere un estado emocional neutral or mixto"
"00969"," No te dejes llevar por el orgullo, escribele pa q te dejen en visto JAJAJAJJAJA ","valence", "1: se infiere un estado emocional ligeramente positivo"
"05884"," Un aplauso por esas personas que a pesar de estar jodidas, siempre buscan la manera de sacarte una sonrisa","valence", "2: se infiere un estado emocional moderadamente positivo"
"01437"," @username nojoda que risa yo pq no te grabe ? ah verdad no tenía cel aún ","valence", "0: se infiere un estado emocional neutral or mixto"
"00624"," #FloresParaNairo y como no enviárselas si @username me hace sentir muy orgulloso de esta tierra que tantos hacen quedar mal ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"06477"," @username Pues a esperar más explosiones de júbilo y alegría por dicho nombramiento . ","valence", "1: se infiere un estado emocional ligeramente positivo"
"00873"," Pues en su intento por insultarme me dijo negro y marico y me pregunto que cuál será el nivel de este ser al decirme eso como insulto ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"04150"," @username Buenos días ! ! ! A por él ","valence", "2: se infiere un estado emocional moderadamente positivo"
"01096"," soy terrible yeta por la chucha por qué nací así ","valence", "-3: se infiere un estado emocional muy negativo"
"00947"," 😱 😱 😱 escucharon ese trueno ? ⚡ ️ ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"02420"," @username Jajajajajaja como cuando te exponen 😅 ","valence", "0: se infiere un estado emocional neutral or mixto"
"02903"," Que aburrido ni se para que tengo whatsaa ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"02426"," Hoy mi papá me dijo que está preocupado porque aún no tengo novio 😂 🤷 🏻 ‍ ♀ ️ 💔 ","valence", "1: se infiere un estado emocional ligeramente positivo"
"00615"," @username :) gracias, aunque en este avatar si estoy muy producida y esa sonrisa jamás volvió.","valence", "0: se infiere un estado emocional neutral or mixto"
"03996"," Si Cataluña tuviera un dictador como Maduro mañana se celebraría el referendo con toda normalidad y mas aun, con apoyo del gobierno.#Ironía","valence", "-2: se infiere un estado emocional moderadamente negativo"
"03433"," Se enojo,me dejo mandándolo a la mierda sola y se durmió.","valence", "-3: se infiere un estado emocional muy negativo"
"06476"," @username El lobo de los tres cerditos . Sigo indignado . ","valence", "-3: se infiere un estado emocional muy negativo"
"06320"," Tengo pocos followers así q impacto sería bajo pero me pasaría el día retuiteando a @username #ingenio #ironía en estado puro #periodismo ","valence", "-1: se infiere un estado emocional ligeramente negativo"
"03023"," @username @username #RutaPaisnum Mucha suerte 🙏 ❤ ","valence", "1: se infiere un estado emocional ligeramente positivo"
"04892"," @username Que indignación 😠, con esa plata podrían sacar a cuantas familias de la pobreza","valence", "-3: se infiere un estado emocional muy negativo"
"01441"," Pero a mi quien mierda me manda a elegir esta carrera de mierda ... lease entre lineas ( amo mi carrera y por eso me enojo ) #Relatosalvaje ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"04790"," Juega vivo y piensa mal ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"05528"," @username Alguien que me entiende perfectamente Lamentablemente no tenemos control ante aquello ","valence", "-2: se infiere un estado emocional moderadamente negativo"
"03224"," Meeentime que me gusta . ","valence", "0: se infiere un estado emocional neutral or mixto"
"02429"," @username @username yo wtf ","valence", "0: se infiere un estado emocional neutral or mixto"
