@relation "temp2.txt"

@attribute id string
@attribute tweet string
@attribute emotion string
@attribute class string

@data
"06277"," Huele a manteca quemada ... a no ya se enojo lacerda 🤣 🤣 🤣 🐽 🐷 ","anger", "2: se infiere un grado moderado de enojo"
"06294"," me siento mal x haberme peleado con mi prima ahre @username te amo pedazo de down enorme ","anger", "0: no se infieren niveles de enojo"
"00230"," @username @username Peor q nunca ... ","anger", "2: se infiere un grado moderado de enojo"
"03780"," tengo comezón en la garganta que desesperación ","anger", "1: se infiere un bajo grado de enojo"
"03831"," @username * Apunta furiosamente * ","anger", "1: se infiere un bajo grado de enojo"
"05783"," No hay nada mejor, que se salga de su fiesta, e ir hasta tú casa, sólo para calmar tú enojo😍😍","anger", "0: no se infieren niveles de enojo"
"04549"," Mi enojo dura num minutos y después ya te extraño . ","anger", "0: no se infieren niveles de enojo"
"05835"," @username Que horror 😐 🙊 ","anger", "1: se infiere un bajo grado de enojo"
"02086"," @username grande preocupación para docentes de entes territoriales como Bogotá y Barranquilla quienes están sujetos a la CNSC y num ","anger", "1: se infiere un bajo grado de enojo"
"03794"," Y apuntan y disparan y diana . Y un camino que fue llano es ahora sangre, ira, incendio en el vientre, lluvia en la mirada, obstáculos.","anger", "1: se infiere un bajo grado de enojo"
"05185"," Indignación en España por declaraciones que comparan a aztecas con nazis num:num am ","anger", "1: se infiere un bajo grado de enojo"
"01704"," @username me vas a hacer llorar lucas ","anger", "0: no se infieren niveles de enojo"
"03657"," ¡ Sólo no me ignores ! — otro pisotón . Ya está con el berrinche — . ","anger", "1: se infiere un bajo grado de enojo"
"01660"," Iría a molestar a mi amiga Laura porque estoy tan aburrida . Pero esta re frío . ","anger", "0: no se infieren niveles de enojo"
"05081"," Por que me arrepiento ","anger", "0: no se infieren niveles de enojo"
"03916"," Soy muy impulsiva, en el momento que me enojo digo cosas que después me termino arrepintiendo","anger", "1: se infiere un bajo grado de enojo"
"05164"," Cada que veo Gg me dan ganas de ser rica ","anger", "0: no se infieren niveles de enojo"
"06788"," Cuando escucho a Naranjito la ira se apodera de mí . Al final tendré que ignorarlo completamente . Mi salud es lo primero . ","anger", "3: se infiere un grado alto de enojo"
"05395"," Me invitan a tomar una birra y vuelvo borracha a mi casa . Así no se puede En tres horas me levanto ","anger", "0: no se infieren niveles de enojo"
"06018"," Ojala nunca se den cuenta 😫 ","anger", "0: no se infieren niveles de enojo"
"00171"," Sabias que cuando estás enfadado con alguien, esa persona ocupa el 80 % de tus pensamientos.","anger", "0: no se infieren niveles de enojo"
"02451"," @username @username @username Sr . Julio camejo ke no le influya chavana se ve ke los kiere intimidar . ","anger", "2: se infiere un grado moderado de enojo"
"04687"," @username #Rayito esperar ansioso ","anger", "0: no se infieren niveles de enojo"
"06075"," Quejarse de los spinners es igual de pendejo que usarlos . ","anger", "2: se infiere un grado moderado de enojo"
"00715"," Seguro se le apago el celular ","anger", "0: no se infieren niveles de enojo"
"03406"," Y toda la NFC norte perdió hoy 🙁 #NFL ","anger", "1: se infiere un bajo grado de enojo"
"00950"," 🎵 No me folles con tus barbas 🎵 que las tienes pringadicaaas 🎵 y si lo haces, por venganza🎵 yo te pego mis ladillaaaaas🎵🎵 #SilvesJotero","anger", "0: no se infieren niveles de enojo"
"00999"," Los dos queremos pero nos mata la cobardía ! ! ! ","anger", "0: no se infieren niveles de enojo"
