@relation lexicons/arabic/translated_from_english/text_lexicons_without_instructions_etc/bingliu_ar.txt

@attribute english string 
@attribute arabic string
@attribute buckwalter string
@attribute sentscore numeric 

@data
"﻿a+","و+","w+",1
"abound","تكثر","tkvr",1
"abounds","يزخر","yzxr",1
"abundance","وفرة","wfrp",1
"abundant","كثير","kvyr",1
"accessable","مليم","mlym",1
"accessible","يمكن الوصول إليها","ymkn AlwSwl AlyhA",1
"acclaim","هتاف","htAf",1
"acclaimed","اللاذعة","AllA*Ep",1
"acclamation","بالتزكية","bAltzkyp",1
"accolade","احتضان","AHtDAn",1
"accolades","الجوائز","AljwA}z",1
"accommodative","متكيفة","mtkyfp",1
"accomodative","أككوموداتيفي","AkkwmwdAtyfy",1
"accomplish","إنجاز","AnjAz",1
"accomplished","إنجاز","AnjAz",1
"accomplishment","إنجاز","AnjAz",1
"accomplishments","الإنجازات","AlAnjAzAt",1
"accurate","دقيق","dqyq",1
"accurately","بدقة","bdqp",1
"achievable","للتحقيق","lltHqyq",1
"achievement","إنجاز","AnjAz",1
"achievements","الإنجازات","AlAnjAzAt",1
"achievible","achievible","achievible",1
"acumen","فطنة","fTnp",1
"adaptable","قابل للتكيف","qAbl lltkyf",1
"adaptive","التكيف","Altkyf",1
"adequate","كاف","kAf",1
"adjustable","قابل للتعديل","qAbl lltEdyl",1
"admirable","بديع","bdyE",1
"admirably","رائع","rA}E",1
"admiration","إعجاب","AEjAb",1
"admire","معجب","mEjb",1
"admirer","المعجب","AlmEjb",1
"admiring","الإعجاب","AlAEjAb",1
"admiringly","بإعجاب","bAEjAb",1
"adorable","بديع","bdyE",1
"adore","أعشق","AE$q",1
"adored","المعشوق","AlmE$wq",1
"adorer","عابد","EAbd",1
"adoring","العاشق","AlEA$q",1
"adoringly","باعجاب","bAEjAb",1
"adroit","لبق","lbq",1
"adroitly","ببراعة","bbrAEp",1
"adulate","تملق","tmlq",1
"adulation","تزلف","tzlf",1
"adulatory","متزلف","mtzlf",1
"advanced","متقدم","mtqdm",1
"advantage","ميزة","myzp",1
"advantageous","مفيد","mfyd",1
"advantageously","مفيد","mfyd",1
"advantages","مزايا","mzAyA",1
"adventuresome","مغامرا","mgAmrA",1
"adventurous","مغامر","mgAmr",1
"advocate","محام","mHAm",1
"advocated","دعا","dEA",1
"advocates","دعاة","dEAp",1
"affability","الدماثة","AldmAvp",1
"affable","أنيس","Anys",1
"affably","affably","affably",1
"affectation","التكلف","Altklf",1
"affection","عاطفة","EATfp",1
"affectionate","حنون","Hnwn",1
"affinity","الألفة","AlAlfp",1
"affirm","أكد","Akd",1
"affirmation","تأكيد","tAkyd",1
"affirmative","إيجابي","AyjAby",1
"affluence","بحبوحة","bHbwHp",1
"affluent","غني","gny",1
"afford","تحمل","tHml",1
"affordable","بأسعار معقولة","bAsEAr mEqwlp",1
"affordably","كلفة معقولة","klfp mEqwlp",1
"afordable","afordable","afordable",1
"agile","رشيق","r$yq",1
"agilely","agilely","agilely",1
"agility","رشاقة","r$Aqp",1
"agreeable","مقبول","mqbwl",1
"agreeableness","agreeableness","agreeableness",1
"agreeably","منسجما مع","mnsjmA mE",1
"all-around","فى كل المكان","fy kl AlmkAn",1
"alluring","فاتن","fAtn",1
"alluringly","alluringly","alluringly",1
"altruistic","غيري","gyry",1
"altruistically","خال من الأنانية","xAl mn AlAnAnyp",1
"amaze","تدهش","tdh$",1
"amazed","مندهش","mndh$",1
"amazement","ذهول","*hwl",1
"amazes","يذهل","y*hl",1
"amazing","مدهش","mdh$",1
"amazingly","بشكل مثير للدهشة","b$kl mvyr lldh$p",1
"ambitious","طموح","TmwH",1
"ambitiously","طموح","TmwH",1
"ameliorate","تحسن","tHsn",1
"amenable","قابلة","qAblp",1
"amenity","لطافة","lTAfp",1
"amiability","لطف","lTf",1
"amiabily","amiabily","amiabily",1
"amiable","ودي","wdy",1
"amicability","المودة","Almwdp",1
"amicable","ظريف","Zryf",1
"amicably","حبيا","HbyA",1
"amity","وئام","w}Am",1
"ample","وافرة","wAfrp",1
"amply","بإسهاب","bAshAb",1
"amuse","سلى","sly",1
"amusing","مسل","msl",1
"amusingly","متعجبا","mtEjbA",1
"angel","ملاك","mlAk",1
"angelic","ملائكي","mlA}ky",1
"apotheosis","تأليه","tAlyh",1
"appeal","مناشدة","mnA$dp",1
"appealing","جذاب","j*Ab",1
"applaud","نشيد","n$yd",1
"appreciable","ممكن إدراكه","mmkn AdrAkh",1
